datetime,Open,High,Low,Close
2024-04-12 11:30:00,22664.6,22682.7,22664.6,22676.275
2024-04-12 11:45:00,22676.725,22698.2,22676.725,22687.3875
2024-04-12 12:00:00,22685.975,22697.15,22682.3,22689.5375
2024-04-12 12:15:00,22689.35,22690.3,22581.9,22646.8625
2024-04-12 12:30:00,22657.625,22657.625,22553.55,22598.45
2024-04-12 12:45:00,22604.65,22604.65,22563.2,22579.9
2024-04-12 13:00:00,22584.2,22596.2,22544.2,22574.325
2024-04-12 13:15:00,22578.45,22591.5,22562.65,22576.6125
2024-04-12 13:30:00,22576.15,22590.35,22558.5,22574.5
2024-04-12 13:45:00,22574.575,22584.35,22559.8,22572.225
2024-04-12 14:00:00,22572.375,22582.4,22538.7,22561.425
2024-04-12 14:15:00,22562.3,22563.75,22537.95,22548.7
2024-04-12 14:30:00,22546.55,22562.5,22532.05,22544.0625
2024-04-12 14:45:00,22540.85,22549.0,22519.0,22536.8125
2024-04-12 15:00:00,22539.625,22549.05,22510.8,22530.3875
2024-04-12 15:15:00,22530.85,22530.85,22503.75,22515.75
2024-04-15 09:15:00,22517.6,22517.6,22302.5,22335.7875
2024-04-15 09:30:00,22333.55,22333.55,22263.55,22301.1375
2024-04-15 09:45:00,22304.325,22352.45,22279.25,22314.05
2024-04-15 10:00:00,22312.25,22377.5,22312.25,22353.8375
2024-04-15 10:15:00,22351.925,22385.4,22344.85,22364.7625
2024-04-15 10:30:00,22364.4,22384.0,22352.6,22370.8
2024-04-15 10:45:00,22373.3,22427.45,22373.3,22401.3625
2024-04-15 11:00:00,22401.9,22426.45,22361.2,22393.7375
2024-04-15 11:15:00,22393.65,22393.65,22357.75,22369.825
2024-04-15 11:30:00,22370.1,22387.85,22368.95,22376.95
2024-04-15 11:45:00,22375.5,22384.1,22355.9,22374.1375
2024-04-15 12:00:00,22378.275,22399.45,22373.85,22388.825
2024-04-15 12:15:00,22391.0,22404.05,22389.05,22395.35
2024-04-15 12:30:00,22394.15,22398.25,22364.4,22382.825
2024-04-15 12:45:00,22384.325,22385.65,22350.55,22366.775
2024-04-15 13:00:00,22365.45,22365.45,22321.6,22342.3625
2024-04-15 13:15:00,22345.625,22354.3,22333.2,22343.05
2024-04-15 13:30:00,22342.35,22351.55,22320.9,22338.3625
2024-04-15 13:45:00,22340.5,22353.9,22334.8,22341.9375
2024-04-15 14:00:00,22339.525,22353.8,22332.6,22341.0625
2024-04-15 14:15:00,22338.925,22343.25,22300.8,22321.2875
2024-04-15 14:30:00,22320.55,22328.85,22295.9,22310.55
2024-04-15 14:45:00,22308.725,22314.95,22289.25,22305.1125
2024-04-15 15:00:00,22308.125,22308.35,22259.55,22285.6625
2024-04-15 15:15:00,22287.375,22291.3,22262.55,22275.7
2024-04-16 09:15:00,22274.475,22274.475,22103.85,22151.6625
2024-04-16 09:30:00,22156.05,22209.75,22156.05,22190.2875
2024-04-16 09:45:00,22192.8,22202.9,22167.5,22191.6625
2024-04-16 10:00:00,22198.125,22213.75,22188.0,22197.8125
2024-04-16 10:15:00,22194.75,22194.75,22156.7,22182.65
2024-04-16 10:30:00,22190.725,22209.4,22184.6,22193.15
2024-04-16 10:45:00,22189.3,22201.9,22185.75,22193.6125
2024-04-16 11:00:00,22193.4,22201.05,22183.8,22196.15
2024-04-16 11:15:00,22199.875,22209.05,22182.9,22195.7
2024-04-16 11:30:00,22195.425,22198.3,22184.6,22190.1875
